item,IPA,complex,stressedV,shape,shape_group,place,type,voiced.correct,voiceless.incorrect,c1,c2,correct.first,incorrect.second,file.sg,file.pl.voiceless.reg,file.pl.voiced.irreg
skiff,skɪf,FALSE,ɪ,P,P,f,stim,van,fan,v,f,tick,tuck,skif.skiff_11711,skifs.skiff_12611,skIvz.skiff_6492
sniff,snɪf,FALSE,ɪ,P,P,f,stim,van,fan,v,f,tick,tuck,snif.sniff_1851,snIfs.sniff_14192,snIvz.sniff_2012
spoof,spuf,FALSE,u,P,P,f,stim,van,fan,v,f,loot,foot,spuf.spoof_12252,spufs.spoof_11492,spuvz.spoof_11972
staff,stæf,FALSE,æ,P,P,f,stim,van,fan,v,f,hat,hate,staf.staff_4312,stafs.staff_10212,stavz.staff_1811
stiff,stɪf,FALSE,ɪ,P,P,f,stim,van,fan,v,f,tick,tuck,stif.stiff_3331,stifs.stiff_4231,stIvz.stiff_232
tariff,tɛrɪf,FALSE,ɛ,P_,P_,f,stim,van,fan,v,f,let,lot,terif.tariff_9261,terIfs.tariff_4452,terIvz.tariff_2372
thief,θif,FALSE,i,P,P,f,stim,van,fan,v,f,reek,rake,thif.thief_3572,thifs.thief_15461,thivz.thief_6132
tiff,tɪf,FALSE,ɪ,P,P,f,stim,van,fan,v,f,tick,tuck,tIf.tiff_13012,tIfs.tiff_11572,tIvz.tiff_9852
triumph,traɪəmf,FALSE,aɪ,P_,P_,f,stim,van,fan,v,f,bite,boat,traiamf.triumph_10151,traIemfs.triumph_12832,traIemvz.triumph_3372
trough,trɔf,FALSE,ɔ,P,P,f,stim,van,fan,v,f,dog,dig,trof.trough_10041,trofs.trough_312,trovz.trough_4672
turf,tɚf,FALSE,ɚ,P,P,f,stim,van,fan,v,f,heard,hard,terf.turf_6712,terfs.turf_112,tervz.turf_10771
waif,weɪf,FALSE,eɪ,P,P,f,stim,van,fan,v,f,pale,pal,weIf.waif_8632,weifs.waif_16641,weIvz.waif_14852
wharf,worf,FALSE,o,P,P,f,stim,van,fan,v,f,cord,card,worf.wharf_4832,worfs.wharf_16241,worvz.wharf_6872
whiff,wɪf,FALSE,ɪ,P,P,f,stim,van,fan,v,f,tick,tuck,wif.whiff_8941,wIfs.whiff_10352,wIvz.whiff_2172
wife,waɪf,FALSE,aɪ,P,P,f,stim,van,fan,v,f,bite,boat,waif.wife_14401,waIfs.wife_13792,waIvz.wife_2592
wolf,wʊlf,FALSE,ʊ,P,P,f,stim,van,fan,v,f,foot,loot,wulf.wolf_11051,wUlfs.wolf_512,wUlvz.wolf_5052
algebra,ælʤəbrə,FALSE,æ,P__,P_,x,filler,bill,pill,b,p,hat,hate,algebre.algebra_7552,algebrez.algebra_8272,algebri.algebra_6632
antique,æntik,FALSE,i,SP,_P,x,filler,time,dime,t,d,hat,hate,antik.antique_2732,antiks.antique_14572,antik.antique_3012
apex,eɪpɛks,FALSE,ɛ,PS,_P,x,filler,pill,bill,p,b,pale,pal,eipeks.apex_13191,eipeksiz.apex_6571,eIpIsiz.apex_6032
appendix,əpɛndɪks,FALSE,ɛ,_PS,P_,x,filler,pill,bill,p,b,pale,pal,apendiks.appendix_12731,apendiksiz.appendix_371,apendisiz.appendix_9621
ballet,bæleɪ,FALSE,eɪ,SP,_P,x,filler,bill,pill,b,p,pale,pal,balei.ballet_6391,baleiz.ballet_971,baleI.ballet_13052
ban,bæn,FALSE,æ,P,P,x,filler,bill,pill,b,p,pack,peck,ban.ban_4371,banz.ban_2551,ben.ban_13192
box,bɑks,FALSE,ɑ,P,P,x,filler,bill,pill,b,p,hot,hat,boks.box_8432,boksIz.box_4952,boksan.box_14701
cactus,kæktəs,FALSE,æ,P_,P_,x,filler,coal,goal,c,g,hat,hate,kaktes.cactus_10072,kaktasiz.cactus_7661,kaktaI.cactus_11552
child,ʧaɪld,FALSE,aɪ,P,P,x,filler,chin,gin,ch,g,hike,hick,chaild.child_7821,chaIldz.child_13992,chIldren.child_14592
cow,kaʊ,FALSE,aʊ,P,P,x,filler,coal,goal,c,g,now,know,kau.cow_9181,kaUz.cow_12172,kaU.cow_15532
crisis,kraɪsɪs,FALSE,aɪ,P_,P_,x,filler,coal,goal,c,g,bite,boat,kraIsIs.crisis_8052,kraisisiz.crisis_3291,kraIsiz.crisis_1152
deer,dir,FALSE,i,P,P,x,filler,dime,time,d,t,reek,rake,dir.deer_8401,dirz.deer_12311,dir.deer_16481
detox,ditɑks,TRUE,ɑ,PS,_P,x,filler,dime,time,d,t,hot,hat,ditoks.detox_9712,ditoksIz.detox_9012,ditIsiz.detox_6252
fillet,fəleɪ,FALSE,eɪ,_P,_P,x,filler,fan,van,f,v,pale,pal,feleI.fillet_1692,faleiz.fillet_7381,feleI.fillet_2392
foreman,formən,FALSE,o,P_,P_,x,filler,fan,van,f,v,cord,card,formen.foreman_3192,formenz.foreman_8132,forman.foreman_8921
fox,fɑks,FALSE,ɑ,P,P,x,filler,fan,van,f,v,hot,hat,faks.fox_6891,faksiz.fox_12371,faksan.fox_9341
fungus,fʌnɡəs,FALSE,ʌ,P_,P_,x,filler,fan,van,f,v,foot,feet,fungas.fungus_16181,fungasiz.fungus_10791,fungai.fungus_1051
goose,gus,FALSE,u,P,P,x,filler,goal,coal,g,c,who,he,gus.goose_10492,gusiz.goose_13271,gis.goose_7832
heap,hip,FALSE,i,P,P,x,filler,pill,bill,p,b,reek,rake,hip.heap_6752,hips.heap_12072,hip.heap_11591
horse,hors,FALSE,o,P,P,x,filler,,,,,cord,card,hors.horse_14392,horsiz.horse_15761,hors.horse_14601
house,haʊs,FALSE,aʊ,P,P,x,filler,,,,,how,high,haus.house_3591,hausiz.house_12671,hais.house_5791
human,hjumən,FALSE,u,P_,P_,x,filler,,,,,loot,foot,hjuman.human_14321,hjumenz.human_15372,hjumen.human_91
kibbutz,kɪbʊts,FALSE,ʊ,SP,_P,x,filler,coal,goal,c,g,foot,feet,kibuts.kibbutz_7291,kIbUtsIz.kibbutz_372,kibutsim.kibbutz_1231
