spelling	ipa	shape	human	confidence1	confidence2	mingen	difference	abs_difference	final
kairif	kaɪrəf	P_	4.08333333333333	0.341731124232626	0.77072362099767	2.84311924074834	-1.24021409258499	1.24021409258499	f
sebife	səbaɪf	_P	5.35	0.495451203060012	0.527267996310959	3.90667000305504	-1.44332999694496	1.44332999694496	f
zife	zaɪf	P	4.96	0.495451203060012	0.527267996310959	3.90667000305504	-1.05332999694496	1.05332999694496	f
rylif	ɹaɪləf	P_	4.94736842105263	0.341731124232626	0.77072362099767	2.84311924074834	-2.10424918030429	2.10424918030429	f
brife	bɹaɪf	P	5.78947368421053	0.495451203060012	0.527267996310959	3.90667000305504	-1.88280368115549	1.88280368115549	f
zikife	zəkaɪf	_P	4.57142857142857	0.495451203060012	0.527267996310959	3.90667000305504	-0.664758568373529	0.664758568373529	f
chyth	ʧaɪθ	P	4.71428571428571	0.380500832241464	0.595518004857325	3.33909931516794	-1.37518639911777	1.37518639911777	T
dipyth	dəpaɪθ	_P	4.46666666666667	0.380500832241464	0.595518004857325	3.33909931516794	-1.12756735149873	1.12756735149873	T
hylith	haɪləθ	P_	3.73684210526316	0.416788531758712	0.634711124153747	3.37825202936678	-0.358590075896385	0.358590075896385	T
shryth	ʃɹaɪθ	P	5.15	0.380500832241464	0.595518004857325	3.33909931516794	-1.81090068483206	1.81090068483206	T
pydith	paɪdəθ	P_	3.17647058823529	0.416788531758712	0.634711124153747	3.37825202936678	0.201781441131485	0.201781441131485	T
hissyth	həsaɪθ	_P	4.38888888888889	0.380500832241464	0.595518004857325	3.33909931516794	-1.04978957372095	1.04978957372095	T
petelf	pətɛlf	_P	5.41666666666667	0.828041848780226	0.527267996310959	4.66576772881561	-0.750898937851057	0.750898937851057	f
nelgif	nɛlgəf	P_	4.36363636363636	0.341731124232626	0.77072362099767	2.84311924074834	-1.52051712288802	1.52051712288802	f
wageff	wəgɛf	_P	4.45454545454545	0.406159972430192	0.809632566809654	3.00442078391501	-1.45012467063044	1.45012467063044	f
yeff	yɛf	P	3.4	0.406159972430192	0.809632566809654	3.00442078391501	-0.39557921608499	0.39557921608499	f
shestef	ʃɛstəf	P_	5.84615384615385	0.341731124232626	0.77072362099767	2.84311924074834	-3.00303460540551	3.00303460540551	f
senf	sɛnf	P	4.5	0.584780394432651	0.527267996310959	4.15515259569748	-0.344847404302521	0.344847404302521	f
shenneth	ʃɛnəθ	P_	4.10526315789474	0.416788531758712	0.634711124153747	3.37825202936678	-0.727011128527965	0.727011128527965	T
pelth	pɛlθ	P	3.64285714285714	0.327899907019879	0.684757970352886	2.94280762148761	-0.700049521369527	0.700049521369527	T
dackelth	dəkɛlθ	_P	4.92857142857143	0.327899907019879	0.684757970352886	2.94280762148761	-1.98576380708382	1.98576380708382	T
sketh	skɛθ	P	4.16666666666667	0.408086205126865	0.733948075466502	3.14399626383283	-1.02267040283384	1.02267040283384	T
resteth	ɹəstɛθ	_P	4.04761904761905	0.408086205126865	0.733948075466502	3.14399626383283	-0.903622783786223	0.903622783786223	T
sengith	sɛŋgɪθ	P_	3.3125	0.408086205126865	0.733948075466502	3.14399626383283	-0.168503736167173	0.168503736167173	T
sternif	stɚnəf	P_	4.64285714285714	0.341731124232626	0.77072362099767	2.84311924074834	-1.7997379021088	1.7997379021088	f
kerf	kɚf	P	4.1875	0.341731124232626	0.77072362099767	2.84311924074834	-1.34438075925166	1.34438075925166	f
sterf	stɚf	P	4.86363636363636	0.341731124232626	0.77072362099767	2.84311924074834	-2.02051712288802	2.02051712288802	f
shanurf	ʃənɚf	_P	4.66666666666667	0.341731124232626	0.77072362099767	2.84311924074834	-1.82354742591833	1.82354742591833	f
