Base	Ortho	HumanVoice	MinGenVoice	PredictedVoice	Derivative	Prob	id_voice_s1	id_voice_root	id_voice_affix	no_long_v_f	no_long_v	Average
sɛŋgɪθ	sengith	3.3125	3.14399626383	3.34676162789	sɛŋgɪθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
sɛŋgɪθ	sengith	3.3125	3.14399626383	3.34676162789	sɛŋgɪðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
stɚnəf	sternif	4.64285714286	2.84311924075	3.34676162789	stɚnəfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
stɚnəf	sternif	4.64285714286	2.84311924075	3.34676162789	stɚnəvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
kɚf	kerf	4.1875	2.84311924075	2.7494342299	kɚfs	0.708427628349	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
kɚf	kerf	4.1875	2.84311924075	2.7494342299	kɚvz	0.291572371651	0.170720164204	0.304436531009	0.0	0.0	0.0	0.475156695213
stɚf	sterf	4.86363636364	2.84311924075	3.34676162789	stɚfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
stɚf	sterf	4.86363636364	2.84311924075	3.34676162789	stɚvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
ʃənɚf	shanurf	4.66666666667	2.84311924075	3.34676162789	ʃənɚfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
ʃənɚf	shanurf	4.66666666667	2.84311924075	3.34676162789	ʃənɚvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
glɚsəf	glersif	4.23529411765	2.84311924075	3.34676162789	glɚsəfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
glɚsəf	glersif	4.23529411765	2.84311924075	3.34676162789	glɚsəvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
yəstɚf	yesturf	4.88888888889	2.84311924075	3.79566454089	yəstɚfs	0.534055909852	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
yəstɚf	yesturf	4.88888888889	2.84311924075	3.79566454089	yəstɚvz	0.465944090148	0.0	0.304436531009	0.0	0.157222972552	0.392	0.853659503561
kwɚθ	querth	4.875	3.37368185509	3.55659906494	kwɚθs	0.573900155843	0.0	0.0	0.195563468991	0.157222972552	0.0	0.352786441543
kwɚθ	querth	4.875	3.37368185509	3.55659906494	kwɚðz	0.426099844157	0.170720164204	0.304436531009	0.0	0.0	0.0	0.475156695213
səkɚθ	sakirth	4.55	3.37368185509	3.34676162789	səkɚθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
səkɚθ	sakirth	4.55	3.37368185509	3.34676162789	səkɚðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
lɚbəθ	lurbith	3.5	3.37825202937	3.34676162789	lɚbəθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
lɚbəθ	lurbith	3.5	3.37825202937	3.34676162789	lɚbəðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
wɚgəθ	wurgith	2.53333333333	3.37825202937	3.34676162789	wɚgəθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
wɚgəθ	wurgith	2.53333333333	3.37825202937	3.34676162789	wɚgəðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
gənɚθ	genurth	4.33333333333	3.37368185509	3.34676162789	gənɚθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
gənɚθ	genurth	4.33333333333	3.37368185509	3.34676162789	gənɚðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
stɚθ	stirth	3.5625	3.37368185509	3.34676162789	stɚθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
stɚθ	stirth	3.5625	3.37368185509	3.34676162789	stɚðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
beɪf	bafe	5.5	3.34778575745	3.77225576223	beɪfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
